N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
165,SK디스커버리,"61,900",0,0.00%,"5,000","11,784","19,038",10.42,0,4.82,11.52,
166,대한유화,"181,000",0,0.00%,"5,000","11,765","6,500",14.03,0,14.03,6.11,
167,지누스,"80,800",0,0.00%,500,"11,641","14,407",19.10,0,14.70,26.32,
168,KODEX 200TR,"10,035",0,0.00%,0,"11,470","114,300",20.26,0,N/A,N/A,
169,SK네트웍스,"4,620",0,0.00%,"2,500","11,466","248,188",11.83,0,-39.15,-5.85,
170,현대위아,"41,350",0,0.00%,"5,000","11,245","27,195",10.98,0,17.84,1.80,
171,현대미포조선,"28,100",0,0.00%,"5,000","11,224","39,942",12.57,0,18.78,2.31,
172,이노션,"56,100",0,0.00%,500,"11,220","20,000",28.98,0,16.79,9.88,
173,한국콜마,"47,200",0,0.00%,500,"10,800","22,881",25.34,0,49.06,6.39,
174,두산솔루스,"35,100",0,0.00%,100,"10,737","30,590",7.98,0,77.83,N/A,
175,신세계인터내셔날,"149,000",0,0.00%,"5,000","10,639","7,140",4.84,0,17.18,12.98,
176,DGB금융지주,"6,250",0,0.00%,"5,000","10,572","169,146",45.99,0,3.40,7.31,
177,롯데관광개발,"15,150",0,0.00%,500,"10,495","69,276",6.27,0,-22.99,-4.77,
178,SK가스,"113,500",0,0.00%,"5,000","10,476","9,230",8.45,0,3.01,9.85,
179,녹십자홀딩스,"22,100",0,0.00%,500,"10,393","47,028",6.95,0,31.39,0.37,
180,코오롱인더,"37,650",0,0.00%,"5,000","10,158","26,979",15.57,0,6.48,1.58,
181,금호타이어,"3,430",0,0.00%,"5,000","9,853","287,260",4.29,0,-7.04,-3.30,
182,KBSTAR 200,"31,355",0,0.00%,0,"9,548","30,450",0.01,0,N/A,N/A,
183,KODEX 단기채권PLUS,"102,740",0,0.00%,0,"9,538","9,284",0.00,0,N/A,N/A,
184,JB금융지주,"4,810",0,0.00%,"5,000","9,475","196,983",38.58,0,2.91,10.36,
185,KODEX 코스닥150 레버리지,"11,390",0,0.00%,0,"9,408","82,600",0.62,0,N/A,N/A,
186,휴켐스,"23,000",0,0.00%,"1,000","9,402","40,879",8.58,0,15.10,10.82,
187,아시아나항공,"4,200",0,0.00%,"5,000","9,376","223,235",7.31,0,-0.85,-90.67,
188,파미셀,"15,600",0,0.00%,500,"9,354","59,959",7.58,0,152.94,8.78,
189,코리안리,"7,660",0,0.00%,500,"9,220","120,369",27.45,0,5.48,8.04,
190,영풍,"500,000",0,0.00%,"5,000","9,210","1,842",4.49,0,4.12,7.40,
191,쿠쿠홈시스,"40,800",0,0.00%,100,"9,154","22,437",4.65,0,11.95,16.10,
192,롯데리츠,"5,270",0,0.00%,500,"9,063","171,969",9.19,0,58.56,1.80,
193,현대홈쇼핑,"74,200",0,0.00%,"5,000","8,904","12,000",24.04,0,11.48,5.03,
194,다우기술,"19,800",0,0.00%,500,"8,884","44,867",23.10,0,4.67,14.62,
195,대상,"25,200",0,0.00%,"1,000","8,731","34,648",17.78,0,6.74,11.17,
196,화승엔터프라이즈,"14,350",0,0.00%,500,"8,687","60,537",3.96,0,15.60,19.87,
197,후성,"9,230",0,0.00%,500,"8,548","92,607",4.09,0,-615.33,3.85,
198,제이알글로벌리츠,"5,080",0,0.00%,"1,000","8,412","165,600",0.15,0,N/A,-0.05,
199,KG동부제철,"8,270",0,0.00%,"5,000","8,271","100,009",0.16,0,8.62,-7.44,
200,SK디앤디,"43,400",0,0.00%,"1,000","8,242","18,990",4.77,0,8.92,12.66,
